ID,Category,Risk Scenario,Description,DB Performance,Backend Log Status
D54,Game Bug,RTP Shift After Deployment,Overall RTP changes materially after a release or configuration update,"Abnormal RTP drift occurs in the interval after a specific version goes live, deviating from the theoretical value set by the math model.","Logs show that random numbers map to incorrect reward multipliers or paytables, causing the single-round win to deviate from expectations."
D55,Game Bug,Feature RTP Spike,A specific feature pays significantly above its expected range,"The RTP of a specific feature is much higher than the math model setting, potentially pulling up the overall RTP.","Single-round logs show that after entering the feature, the payout amount is abnormally high, possibly due to a reward calculation logic error."
D56,Game Bug,Feature RTP Drop,A feature pays materially below its approved expectation,"The RTP of a specific feature is much lower than expected, potentially pulling down the overall RTP.","Single-round logs show that after entering the feature, the win frequency or amount is abnormally low."
D57,Game Bug,Base Game RTP Drift,Base-game payout changes while feature performance remains normal,"The RTP of the base game shows an abnormal drift, but the RTP of special features like free games is normal.","Single-round logs show that the base game payout result does not match the math model, possibly due to incorrect application of the base game paytable."
D58,Game Bug,Trigger Rate Shift,"Bonus, Free Game, Respin, or other feature frequency changes unexpectedly",The trigger frequency of free games or bonus games differs significantly from the expected probability.,"Logs show an abnormal number of occurrences of a specific trigger symbol, resulting in too many or too few records of trigger events."
D59,Game Bug,Hit Rate Shift,Overall winning-spin frequency changes without an approved math change,"The player's overall hit rate changes abnormally, potentially being too high or too low.","In single-round logs, the proportion of winning rounds is abnormal, possibly due to a logic error in line win determination."
D60,Game Bug,Volatility Shift,Win distribution becomes materially more or less volatile than designed,"The win distribution becomes extreme, with fewer small wins and more big wins, or vice versa, leading to abnormal game volatility.","Logs show payout amounts concentrated in specific ranges, with gaps appearing in what should be an evenly distributed win result."
D61,Game Bug,Large-Win Frequency Shift,Big wins occur more or less often than expected despite normal average RTP,"The frequency of big wins (e.g., 100x or more) abnormally increases or decreases, but the overall RTP may still be within the normal range.","Event records of high-multiplier payouts in logs are too frequent, possibly due to overly loose conditions for determining high-payout symbol combinations."
D62,Game Bug,Max-Win Frequency Shift,Maximum wins occur at an abnormal rate,The number of times players reach the maximum win limit far exceeds the expected probability.,"Single-round logs show that cumulative wins frequently trigger the 'Max Win' settlement condition, possibly due to out-of-control multiplier logic."
D63,Game Bug,Symbol Frequency Drift,Individual symbols appear at rates inconsistent with configured reel strips,The appearance frequency of specific symbols does not match the probability set in the reel strips.,"Reel logs show an abnormal number of times a specific symbol is selected, possibly due to a logic error in mapping the RNG to the reel position."
D64,Game Bug,Reel-Specific Bias,"One reel produces abnormal symbol, feature, or payout patterns","The symbol distribution on a specific reel (e.g., Reel 3) shows an abnormal bias.",Logs show that the random number generation or mapping result for a specific reel is fixed at a few specific positions.
D65,Game Bug,Denomination-Specific RTP Drift,RTP is abnormal only at one denomination or currency,"RTP is abnormal when betting at a specific denomination, while other denominations are normal.",Logs show errors in payout calculation or paytable application when betting with a specific denomination.
D66,Game Bug,Server-Specific RTP Drift,One server or cluster produces statistically different results,The RTP of a specific server cluster is significantly different from other servers.,Logs of that server show that its applied configuration file version or RNG behavior is inconsistent with other servers.
D67,Game Bug,Market-Specific Math Drift,One jurisdiction or market uses unintended math or feature settings,The RTP or game performance in a specific jurisdiction or market does not match the settings.,Logs of that market show that it applied the wrong math model configuration file or feature toggles.
D68,Game Bug,Time-Dependent Outcome Drift,"RTP, symbol frequency, or trigger rate changes by time in an unintended pattern","Abnormal patterns appear in RTP or hit rate during specific time periods (e.g., specific times daily).","Logs show that during specific time periods, random number generation or payout logic is affected by system time, causing deviations."
D69,Game Bug,Feature Interaction Bug,Two individually correct features produce abnormal results when activated together,"When two features are triggered simultaneously, the overall payout amount is abnormally high or low.","Logs show that when two feature flags exist simultaneously, the bonus calculation logic conflicts or double-counts."
D70,Game Bug,Rare-State Payout Anomaly,Abnormal payouts occur only in a rare game-state combination,Abnormal payout results occur under very rare game state combinations.,"Logs show that under a specific sequence of conditions, the state machine enters an undefined state, causing payout calculation errors."
ID,Category,Risk Scenario,Description,,
D01,Game Bug,Duplicate Settlement,The same round or payout is settled more than once,The amount added to the player's wallet balance is greater than the actual game payout.,System logs show that multiple identical settlement requests were generated for the same game round.
D02,Game Bug,Missing Settlement,A completed winning round is not credited to the player wallet,"The player has a winning record, but the wallet balance did not increase by the corresponding amount.","Game logs show that the round was completed with a win, but there is no corresponding successful wallet credit log."
D03,Game Bug,Duplicate Wager Deduction,The same wager is deducted multiple times for one round,The amount deducted from the player's wallet is greater than the actual bet amount.,System logs show that multiple identical wager deduction requests were generated for the same game round.
D04,Game Bug,Missing Wager Deduction,A round is played and potentially paid without a valid wager deduction,"The player played the game and may have received a payout, but the bet amount was not deducted from the wallet.","Game logs show that the game has started, but there is no corresponding successful wallet deduction log."
D05,Game Bug,Bet-Win Reconciliation Failure,"Recorded bet, calculated win, and wallet movements do not balance",The total bet and payout recorded in the game do not match the actual change in the player's wallet.,"The amounts in the game settlement log and the wallet transaction log do not match, possibly due to data loss or calculation differences."
D06,Game Bug,Split Settlement Overflow,Partial settlements collectively exceed the valid round payout,The total amount paid out in batches exceeds the total prize the round should have awarded.,"Logs show that the cumulative amount of batch settlements exceeds the single-round win limit, lacking fail-safe mechanisms."
D07,Game Bug,Rollback Reconciliation Failure,"A rollback reverses only part of the wager, payout, or game state","After a game rollback, the player's wallet balance is not correctly restored to the pre-bet state.","Rollback logs show that only partial transactions were reversed, or the refunded amount was calculated incorrectly."
D08,Game Bug,Wallet Balance Desynchronization,The game server and wallet service show different authoritative balances,The player balance recorded by the game server is inconsistent with the balance recorded by the wallet system.,"Balance snapshot logs from both systems show differences, possibly due to network delays or missed transactions causing desynchronization."
D09,Game Bug,Currency Precision Error,"Incorrect decimal precision causes overpayment, underpayment, or balance drift","Due to decimal rounding issues, the long-term accumulated payout amount slightly deviates from expectations.","Logs show precision loss during floating-point operations, causing settlement amounts to be incorrectly rounded up or down."
D10,Game Bug,Negative or Invalid Payout,"Calculation produces a negative, null, non-numeric, or otherwise invalid payout","Payout records show negative, zero, or non-numeric (NaN) values.","Abnormal numeric formats appear in the settlement logs, causing subsequent wallet transactions to fail or report errors."
D11,Game Bug,Max Win Cap Failure,Payout exceeds the configured maximum-win cap or is capped incorrectly,The player's single-round win exceeds the game's configured maximum win limit.,"Logs show that after reaching the limit, the system did not correctly trigger the truncation mechanism and continued to accumulate wins."
D12,Game Bug,Max Win Early Termination Error,"Game ends too early, too late, or continues producing wins after the cap is reached","The player has not yet reached the maximum win limit, but the game ends early and forces a settlement.","Logs show a logic error in Max Win determination, triggering the end condition too early."
ID,Category,Risk Scenario,Description,,
D13,Game Bug,Invalid State Transition,The game enters a state that is not permitted by the designed state machine,"Abnormal game state transition records, showing illogical state changes.","State machine logs show a direct jump from State A to State C, missing the required intermediate State B."
D14,Game Bug,Feature Entry Failure,A qualifying trigger occurs but the player does not enter the awarded feature,The number of rounds meeting the trigger condition is greater than the number of rounds actually entering the special feature.,"Logs show the trigger condition was met, but initialization logs for entering the special feature are missing."
D15,Game Bug,Invalid Feature Entry,The player enters a feature without satisfying the required trigger conditions,There are records of entering a special feature without meeting the trigger conditions.,"Logs show entry into a special feature, but the reel result of the previous round did not meet the trigger condition."
D16,Game Bug,Feature Re-entry Bug,A completed or active feature can be entered multiple times,A single trigger results in multiple special feature play records.,"Logs show that after the special feature ended, the system erroneously sent the command to enter the feature again."
D17,Game Bug,Free Spin Counter Error,"Awarded, played, remaining, and retriggered free spins do not reconcile",The actual number of free spins executed does not match the number awarded.,"Counter logs show a logic error in decrementing the remaining count, possibly deducting too many or too few."
D18,Game Bug,Retrigger Count Error,"A retrigger awards too many, too few, or duplicate free spins",The number of free spins added during a retrigger is incorrect.,"Logs show a Retrigger event occurred, but the value added to the remaining count does not match the rules."
D19,Game Bug,Respin Counter Error,Respin or hold-and-win rounds terminate at the wrong time,"In Respin mode, the counter reset or decrement logic is incorrect.","Logs show that when a new symbol is obtained, the Respin count is not correctly reset to its initial value."
