ID,Category,Risk Scenario,Description,DB Performance,Backend Log Status
E01,Player Risk,Consecutive High RTP,Player RTP remains materially above expectation across consecutive periods,"The player's actual RTP over 3 consecutive days remains stably above 120%, far exceeding the theoretical RTP of 96% set by the system, with no downward regression trend.",Payout logs frequently record the player triggering high-odds wins or high-value features.
E02,Player Risk,Continuous Positive NW_Diff,Actual player profit continuously exceeds theoretical expectation,"The player's actual net win continues to rise, and the positive difference with the theoretical net win expands linearly, accumulating an excess of over 50,000 coins, deviating from normal volatility ranges.","RNG payout logs are normal, with no signs of tampering or replay attacks, but logs show the player's profit distribution is extremely skewed towards the player side, lacking normal volatility regression."
E03,Player Risk,Single-Day Big Win,Player earns an unusually large profit within one day,"The player's single-day net win (DailyNetWin) shows an extreme peak, far exceeding their historical average single-day net win and standard deviation.","Payout logs show single or a few extremely high-multiplier (WinMultiplier) payout records, while RNG generation is normal."
E04,Player Risk,Bet Timing Anomaly,Bet changes are unusually correlated with subsequent high-value outcomes,"The player's bet amount (BetAmount) is highly time-correlated with subsequent high-value payouts, and the win rate increases abnormally after a bet change (BetChange).","Game state (GameState) logs show the player has obvious bet-increasing behavior before specific high-expected-value states, requiring investigation for state leakage."
E05,Player Risk,Selective Feature Buy,Player buys features only under conditions associated with unusually favorable outcomes,"The player's frequency of buying features (FeatureBuyRate) is highly correlated with specific game states (GameState), and the feature RTP under these conditions is abnormally high.",Server logs show the player frequently initiates Feature Buy requests when specific accumulators or prerequisites are met.
E06,Player Risk,Repeated Extreme Wins,Player records an unusual number of statistically rare wins,The number of times the player triggers extreme grand prizes (BigWinCount) within a relatively small number of total spins (TotalSpins) far exceeds reasonable statistical expectations.,"RNG logs continuously produce extremely low-probability tail event outcomes, requiring confirmation of whether RNG randomness is compromised."
E07,Player Risk,Abnormal Max-Win Frequency,Player reaches the maximum win more often than mathematically expected,The frequency at which the player reaches the game's maximum payout (MaxWinCount) is significantly higher than the theoretical probability set by the mathematical model.,"Payout logs frequently show records hitting the hard max win cap, requiring inspection of game logic for vulnerabilities."
E08,Player Risk,High Profit with Low Exposure,Player earns a large profit from very few spins or a small wager amount,"The player's net win (NetWin) is extremely high, but total bet (TotalBet) and spin count (SpinCount) are extremely low, making profit disproportionate to risk exposure.","Logs show the player triggered high-multiplier payouts in an extremely short session, requiring confirmation of compliance for the RNG sequence and trigger conditions of those payouts."
E09,Player Risk,Low-Variance Positive Profit,Player consistently earns positive returns with unusually low result variance,"The player's net win remains positive, but the win variance (WinVariance) is extremely low, inconsistent with the high-volatility mathematical model of the slot game.","Payout logs show continuous small, stable payouts, lacking the game's expected volatility characteristics (such as losing streaks or big wins), suspecting arbitrage using specific mechanics."
E10,Player Risk,Feature Profit Concentration,"Most player profit comes from one feature, state, or bonus path","The player's net win is highly concentrated on a single feature (FeatureType), and the actual RTP of this feature far exceeds the theoretical value.","Trigger logs and payout logs for this feature are abnormally dense, possibly indicating a logic flaw or parameter setting error in that specific bonus path."
E11,Player Risk,Game-Specific Profit Concentration,Player wins disproportionately from one game compared with all other games,"The player's net win and RTP on a specific single game (GameId) are abnormally high, while performance on other games is normal.","The payout logs of this single game show an abnormal positive return distribution, requiring investigation of the game version or configuration for defects."
E12,Player Risk,Cross-Game Persistent Profit,Player produces positive deviations across several mathematically independent games,The player shows an abnormal phenomenon of actual net wins far exceeding theoretical values across multiple mathematically independent games.,"Cross-game RNG and payout logs both show the player continuously profiting, possibly indicating cross-game general vulnerability exploitation or account-level anomalies."
E13,Player Risk,Pre-Win Bet Escalation,Player increases bets shortly before high-value wins more often than expected,"The player's bet amount (BetChangeRatio) increases significantly and unusually before a high-value payout, predicting future profit.","Operation logs show the player's bet-increasing behavior highly coincides in time with subsequent high-odds results generated by RNG, requiring defense against RNG-predicting cheats."
E14,Player Risk,Post-Loss Bet Escalation,Player repeatedly raises bets after losses,"After experiencing continuous losses (LossStreak), the player's bet amount shows regular doubling (e.g., Martingale strategy).","Betting logs record a clear pattern of increasing bets after losses, requiring monitoring to see if it hits betting limits or triggers money laundering/responsible gaming risks."
E15,Player Risk,Post-Win Bet Escalation,Player sharply raises stakes after wins in an unusual or systematic pattern,"After receiving a large payout (PreviousWin), the player's bet amount increases sharply, showing an unusual pattern of increasing bets after a win.","Betting logs show the player's behavior is strongly stimulated by large payouts, requiring attention to their subsequent fund flows and gaming behavior."
E16,Player Risk,Rapid Bet Oscillation,Bet amount alternates rapidly between low and high values,"The player's bet amount frequently switches between extremely high and extremely low values (BetChangeFrequency), with an abnormal bet ratio (BetRatio).","Betting logs show high-frequency bet switching, possibly attempting to interfere with the system's risk monitoring models or find specific vulnerabilities."
E17,Player Risk,Denomination Switching Pattern,Player frequently switches denominations around profitable features or outcomes,"The player frequently switches denominations, and the RTP or feature trigger rate is abnormally high under high-denomination states.","Denomination switching logs are highly correlated with high-value payout events, requiring inspection to ensure game states under different denominations are properly isolated."
E18,Player Risk,Bet Boundary Targeting,"Player repeatedly wagers exactly at configured thresholds, caps, or eligibility boundaries","The player's bet amount (BetAmount) is highly concentrated at specific system thresholds, caps, or promotion eligibility boundaries (e.g., JackpotMinimum).","Betting logs show a large number of bets precisely hitting the boundaries, indicating the player is clearly optimizing bets for specific rules."
E19,Player Risk,Feature-Only Gameplay,Player almost exclusively uses Feature Buy or one high-value feature path,"The player's feature buy rate (FeatureBuyRate) is close to 100%, with almost no records of base spins (BaseSpinCount).","Game logs only contain triggers and payouts for Feature Buy, requiring monitoring of the overall profit/loss ratio of this feature for abuse."
E20,Player Risk,Game-State Entry Selection,Player enters or resumes sessions only when visible or persistent state is favorable,The state (EntryState) or meter value (MeterValue) when the player enters the game is highly skewed towards conditions favorable to the player.,"Login and session logs show the player repeatedly entering and exiting the game, and only making substantial bets under specific high-expected-value states."
E21,Player Risk,Rapid Game Hopping,"Player changes games unusually often, potentially searching for favorable state or configuration",The player frequently switches between different games (GameSwitchCount) within an extremely short session duration (SessionDuration).,"Servers record a large number of short game load and exit logs, suggesting the player might be scanning for favorable game states or configurations."
E22,Player Risk,Short-Session Profit Extraction,Player frequently exits immediately after a profitable feature or large win,The time until the session ends (TimeAfterWin) is extremely short after the player receives a large payout or completes a feature.,"Session logs show a clear 'hit and run' pattern, with a session end (SessionEnd) record immediately following a large payout."
E23,Player Risk,Retry-Correlated Profit,Profitable outcomes occur disproportionately after request retries or errors,The player's high-multiplier wins (WinAmount) are highly correlated with retry requests (RetryCount) or error codes (ErrorCode) initiated by the client.,"Network logs show abnormal disconnect-retry or packet-resend behavior, and the payout results after retries are significantly skewed towards the player."
E24,Player Risk,Disconnect-Correlated Profit,Disconnects or reconnects are disproportionately associated with preserved wins or avoided losses,There is an abnormal correlation between the player's disconnect count (DisconnectCount) and the outcome of preserving wins or avoiding bet deductions (WalletDelta).,"Disconnect-reconnect logs are inconsistent with wallet deduction logs, suspecting the use of disconnect mechanisms to stuck bets or evade loss deductions."
