GameID,GameType,GameName,Paylines /Ways,Layout (Rows*Reels),Game PlayWay,max mutilipier,RTP
1058s,0,Grand 88 Fortunes,1024,4*5,Base,5000X,96.81%
1057s,0,Power Rangers 1000,Pay Anywhere,5*6,Base,15000x,96.72%
1057s,1,Power Rangers 1000,Pay Anywhere,5*6,Extra Bet 1.25­¿,15000x,96.62%
1057s,2,Power Rangers 1000,Pay Anywhere,5*6,Feature Buy 100­¿,15000x,96.45%
1056s,0,Grand Diamond Eternity,1024,4*5,Base,5000x,96.05%
1048s,0,Winning Daruma,1024,4*5,Base,15000x,96.64%
1048s,2,Winning Daruma,1024,4*5,Feature Buy 100­¿,15000x,96.69%
1045s,0,War of Pirates,88,5*5,Base,2000x,96.66%
1045s,2,War of Pirates,88,5*5,Feature Buy 32.5­¿,2000x,96.67%
1054s,0,Goal Star,30,3*5,Base,1700x,96.53%
1054s,2,Goal Star,30,3*5,Feature Buy 50­¿,1700x,96.50%
1050s,0,Franken Stein,30,3*5,Base,15000x,96.66%
1050s,2,Franken Stein,30,3*5,Feature Buy 60­¿,15000x,96.20%
1052s,0,Doom Envoy,Cluster,"4*4, 5*5, 6*6",Base,50000x,96.71%
1052s,2,Doom Envoy,Cluster,"4*4, 5*5, 6*6",Feature Buy 50­¿,50000x,96.62%
1049s,0,Mahjong Plus 2 - Three Dragons,1024,4*5,Base,5000x,96.90%
1049s,2,Mahjong Plus 2 - Three Dragons,1024,4*5,Feature Buy Re-Spin 35­¿,5000x,96.90%
1049s,3,Mahjong Plus 2 - Three Dragons,1024,4*5,Feature Buy Free Game 75­¿,5000x,96.90%
1049s,4,Mahjong Plus 2 - Three Dragons,3125,5*5,Feature Buy Super Free Game 300­¿,5000x,96.89%
1047s,0,Golden Mahjong,25,3*5,Base,16800x,96.32%
1047s,2,Golden Mahjong,25,3*5,Feature Buy 100­¿,16800x,96.26%
1051s,0,Money Meow,5,3*3,Base,1500x,96.65%
1051s,1,Money Meow,5,3*3,Extra Bet 1.5­¿,1500x,96.52%
1046s,0,Master Panda,40,4*5,Base,,96.39%
1046s,2,Master Panda,40,4*5,Feature Buy 100­¿,,96.57%
1041s,0,Lushi Quest,3,3*3,Base,1300x,96.65%
1041s,1,Lushi Quest,3,3*3,Extra Bet 1.5­¿,,96.51%
1041s,2,Lushi Quest,3,3*3,Feature Buy 50­¿,,96.54%
1035s,0,Lost Treasures of Maya,"243 ? X ? 15,625",3*5¡B4*5¡B5*5¡B5*6,Base,3000x,96.75%
1035s,2,Lost Treasures of Maya,"243 ? X ? 15,625",3*5¡B4*5¡B5*5¡B5*6,Feature Buy 60­¿,3000x,96.75%
1038s,0,Fortune magic lamp,40 / 60,4*5 / 6*5,Base,3904x,96.74%
1037s,0,Taste of Thailand,10,3*5,Base,5000x,96.76%
1037s,2,Taste of Thailand,10,3*5,Feature Buy 50­¿,5000x,96.61%
1011s,0,Mulan,2025 ? X ? 32400,5+6+6+6+6+5,Base,10000x,96.58%
1011s,2,Mulan,2025 ? X ? 32400,5+6+6+6+6+5,Feature Buy 50­¿,10000x,96.70%
1039s,0,Lucky Dragon,5,3*3,Base,2500x,96.66%
1039s,1,Lucky Dragon,5,3*3,SureWin,2500x,96.48%
1043s,0,OMG ACE,1024,4*5,Base,1500x,96.70%
1043s,2,OMG ACE,1024,4*5,Feature Buy 40.5­¿,1500x,96.79%
1040s,0,Cyberpunk,50,3*5,"Base, Jackpot",1730x,96.33%
1012s,0,Lion Dance,243,3*5,Base,10000x,96.18%
1018s,0,Treasure Bowl,Pay Anywhere,5*6,Base,5000x,96.46%
1018s,1,Treasure Bowl,Pay Anywhere,5*6,Extra Bet 1.25­¿,5000x,96.03%
1018s,2,Treasure Bowl,Pay Anywhere,5*6,Feature Buy 100­¿,5000x,96.31%
1013,,Power of Orb,243,3*5,Base,8512x,96.20%
1028s,0,Super Rakki,1,1*3,"Base, 
Respin,
Rollback",888x,96.60%
1019,0,Bonus777,1,3*3,"Base,
Respin",3333x,96.30%
1008s,0,Mahjong Plus,1024,4*5,Base,5000x,96.90%
1025s,0,Noah's Ark,3600,3+4+5+5+4+3,Base,5000x,96.60%
1025s,2,Noah's Ark,3600,3+4+5+5+4+3,Feature Buy 60­¿,5000x,96.68%
1025s,3,Noah's Ark,3600,3+4+5+5+4+3,Feature Buy 100­¿,5000x,96.75%
1014s,0,Three Little Pigs,1,1*3,"Base, 
Respin,
Rollback",88x,96.40%
1001s,0,MIKAMI YUA,1,3*3,Base,88x,96.40%
1002s,0,HighLow Dice,n/a,n/a,Round,812x,97.90%
9001f,0,Bonus777(mini),1,3*3,"Base,
Respin",3333x,96.30%
6801r,,Draw Red,,,,,
6901g,,Send Gift,,,,,
1003m,,Cash Rocket,n/a,n/a,Round,,
