Deterministic reconciliation and rule violations,,,,,
ID,Risk Scenario,Description,DB 數據表現,後台日誌與 RNG 情況,Detection Target
A01,Replay / Duplicate Settlement,The same round or winning transaction is settled more than once,單一 RoundId 出現多次結算紀錄，導致該局的 Net Win 異常放大，整體 RTP 瞬間飆高。Bet 只有一次，但 Win 金額為預期的數倍。,Server 收到相同 TransactionId 或 SpinId 的重複結算請求。RNG 正常產出一次結果，但後台日誌顯示同一筆 RNG 結果被多次調用結算。,Duplicate payout for one round
A02,Split Settlement Exploit,One valid win is divided into multiple settlements whose combined value exceeds the actual result,單局的 SettlementCount 大於 1，多筆結算金額加總後超過原本該局應得的 ExpectedWin。RTP 在短時間內異常增加。,Server 收到被拆分的結算封包，日誌中會看到同一個 RoundId 對應多個結算請求。RNG 正常，但結算邏輯未驗證總金額上限。,Aggregated settlement exceeds expected payout
A03,Wallet Balance Desynchronization,The player exploits differences between the game balance and authoritative wallet balance,WalletBalance 與 GameBalance 出現不同步，WalletDelta 出現異常流出。玩家在遊戲內的 BetAmount 累積超過其實際存款餘額，產生無本下注。,Server 日誌顯示資金轉出與下注請求的時間戳極為接近，產生併發(Race Condition)。RNG 正常產出結果，但扣款邏輯因餘額未即時同步而失效。,Invalid balance or unsupported bet
A04,State Carry-over Exploit,"Bonus, wild, multiplier, meter, or feature state incorrectly carries into another round or game mode",玩家在 Base Game 的 WinAmount 異常偏高，且 RTP 遠高於理論值。特定 FeatureId 的觸發頻率與收益不符預期。,Server 日誌顯示玩家狀態(GameState)轉換異常，例如從 Free Spin 結束後，StateToken 或 Feature Flag 未被正確清除，導致 RNG 產生的結果套用了錯誤的倍率或百搭狀態。,Invalid state transition
A05,Feature Re-entry Exploit,A completed or partially completed bonus feature can be entered repeatedly,單一 SessionId 內，特定 FeatureId 的 EntryCount 異常增加。玩家在短時間內連續獲得高額 Feature Win，整體 RTP 爆增。,Server 收到重複進入特定免費遊戲的封包。日誌顯示同一個 Feature 實例(Instance)被多次初始化。RNG 可能正常產出每次 Feature 的結果，但狀態機未阻擋重複進入。,Repeated entry into the same feature instance
A06,Free Spin Counter Exploit,"Free spins, retriggers, or remaining-spin counters do not reconcile correctly",實際進行的 FreePlayed 次數大於系統給予的 FreeAwarded 次數。玩家在單次觸發中獲得的 Free Win 總額遠超預期。,Server 日誌顯示 FreeRemain 計數器出現異常增加或未遞減的情況。RNG 正常運作，但遊戲狀態邏輯處理 Free Spin 次數時出現錯誤，導致額外的旋轉請求被接受。,Extra free spins received
A07,Multiplier Persistence Exploit,A temporary multiplier remains active after its intended expiration,玩家在連續多局的 WinAmount 都受到高倍數加成，導致 RTP 持續處於高位。原本應失效的 MultiplierValue 在資料庫中持續存在。,Server 日誌顯示 Multiplier 的生命週期(Lifecycle)未正確終止，ExpirySpin 條件未被觸發。RNG 產出的基礎贏分正常，但乘數計算模組套用了過期的倍數。,Multiplier lifecycle violation
A08,Persistent Symbol Exploit,"Sticky wilds, expanding wilds, or persistent symbols remain longer than permitted",特定位置連續多局出現高價值符號(如 Wild)，導致玩家中獎率(Hit Rate)與 RTP 異常偏高。,Server 日誌顯示 Sticky Wild 等特殊符號的 Duration 計算錯誤或重置失敗。RNG 產生的盤面(Reel Stops)可能正常，但伺服器在建構最終盤面時，錯誤地保留了上一局的符號狀態。,Symbol persistence beyond valid duration
A09,Max Win Cap Bypass,"Total round payout exceeds the configured maximum win through retriggers, partial settlements, or calculation errors",單局 TotalRoundWin 超過遊戲設定的 MaxWin 上限。可能伴隨異常高的 RetriggerWin 或結算金額。,Server 日誌顯示單局派彩金額累加時，未正確觸發 Max Win 阻擋機制。RNG 可能因為極端機率產出超高倍率，但結算模組的上限驗證失效。,Payout above maximum limit
A10,Jackpot Eligibility Exploit,"A player receives jackpot eligibility or a jackpot award without meeting bet, denomination, or contribution rules",玩家在未達 EligibleBet 門檻的情況下，資料庫出現 Jackpot 派彩紀錄。Contribution 累積金額極低，卻贏得高階 JackpotTier。,Server 日誌顯示玩家的下注請求觸發了 Jackpot 判定邏輯，但資格驗證(Eligibility Check)被繞過或存在漏洞。RNG 可能正常抽中 Jackpot，但前置條件未滿足。,Invalid jackpot qualification
Strong event-sequence and behavioral patterns,,,,,
ID,Risk Scenario,Description,DB 數據表現,後台日誌與 RNG 情況,Detection Target
A11,Cross-Account State Reuse,"The same favorable state, feature token, or bonus instance is used by multiple accounts",多個 UserId 共用相同的 StateToken 或 FeatureId。這些帳號的 RTP 異常偏高，且經常在有利狀態下才開始有 Bet 紀錄。,Server 日誌顯示不同帳號傳送了相同的狀態憑證進行遊戲。RNG 正常運作，但遊戲伺服器未能驗證 StateToken 與 UserId 的綁定關係，導致狀態被盜用。,Shared state token across users
A12,Retry Outcome Selection,The player repeatedly retries requests and retains only favorable responses,RetryCount 異常偏高，且 Retry 成功的局數其 Outcome 多為高額 Win。玩家整體的 RTP 顯著高於預期。,Server 日誌顯示大量下注請求被中斷或重試，且重試往往發生在 RNG 產出未中獎結果之後。伺服器未能有效阻擋條件式重試(Conditional Retry)。,Retry success correlated with wins
A13,Rollback Exploit,Losing rounds are rolled back more frequently while winning rounds remain settled,RollbackCount 異常增加，且 Rollback 多發生在未中獎的局數。玩家的實際損失極低，RTP 異常偏高。,Server 日誌顯示特定 ErrorType 頻繁觸發導致注單回滾。RNG 產出結果後，玩家利用漏洞刻意製造伺服器錯誤，迫使伺服器取消未中獎的注單。,Outcome-dependent rollback behavior
